id	name	team	position	country	league_key	league
793255	Florentino	Burnley	CM,CDM	Portugal	premier_league	Premier League
1329320	Alberto Flores	Sevilla	GK	Spain	la_liga	LaLiga
1664552	Mateo Flores	Arouca	CM	Spain	liga_portugal	Liga Portugal
815006	Phil Foden	Manchester City	CAM,LW,RW	England	premier_league	Premier League
1207581	David Datro Fofana	Strasbourg	ST	Ivory Coast	ligue_1	Ligue 1
1364069	Malick Fofana	Lyon	LW	Belgium	ligue_1	Ligue 1
1586559	Rayan Fofana	Lens	ST	France	ligue_1	Ligue 1
1285732	Sadik Fofana	Lecce	CDM,CM,CB,LW	Togo	serie_a	Serie A
602211	Seko Fofana	FC Porto	CM	Ivory Coast	liga_portugal	Liga Portugal
917802	Wesley Fofana	Chelsea	CB	France	premier_league	Premier League
873566	Yahia Fofana	Rizespor	GK	Ivory Coast	super_lig	Super Lig
954621	Youssouf Fofana	Milan	CM,CDM	France	serie_a	Serie A
951629	Nathan Fogaça	Mirassol	ST	Brazil	brasileirao	Serie A
1596106	Francesco Folino	Cremonese	CB	Italy	serie_a	Serie A
1958008	Gabriel Follmer	Santos FC	Attacker	Brazil	brasileirao	Serie A
822440	Michael Folorunsho	Cagliari	CM,CDM,ST,CAM,LW	Italy	serie_a	Serie A
1946081	Jotavve Fonseca	Vasco da Gama	Defender	Brazil	brasileirao	Serie A
950599	Nicolás Fonseca	Real Oviedo	CDM,CM,RW	Uruguay	la_liga	LaLiga
26552	José Fonte	Casa Pia AC	CB	Portugal	liga_portugal	Liga Portugal
1362439	Bernardo Fontes	Tondela	GK	Brazil	liga_portugal	Liga Portugal
1160390	Jose Fontán	Arouca	CB,LB	Spain	liga_portugal	Liga Portugal
1116482	Igor Formiga	Mirassol	RB,RM,RWB	Brazil	brasileirao	Serie A
683450	Pablo Fornals	Real Betis	CDM,CAM,CM,RW	Spain	la_liga	LaLiga
1913786	Jeferson Forneck	Gremio	Midfielder	Brazil	brasileirao	Serie A
95336	Fraser Forster	AFC Bournemouth	GK	England	premier_league	Premier League
1490110	Héctor Fort	Elche	RWB,RM	Spain	la_liga	LaLiga
1642351	Niccolò Fortini	Fiorentina	RB,LWB,LM,RM	Italy	serie_a	Serie A
1184772	Ángel Fortuno	Espanyol	GK	Spain	la_liga	LaLiga
1304120	Alex Forés	Real Oviedo	ST	Spain	la_liga	LaLiga
881500	Lyle Foster	Burnley	ST,RW	South Africa	premier_league	Premier League
261609	Dimitri Foulquier	Valencia	RB	Guadeloupe	la_liga	LaLiga
833219	Juan Foyth	Villarreal	CB,RB	Argentina	la_liga	LaLiga
1529105	Aitor Fraga	Real Sociedad	GK	Spain	la_liga	LaLiga
1066264	Abu Francis	Toulouse	CDM,CM	Ghana	ligue_1	Ligue 1
1699022	Ryan Francisco	Sao Paulo	ST	Brazil	brasileirao	Serie A
832165	Alan Franco	Sao Paulo	CB	Argentina	brasileirao	Serie A
832171	Alan Franco	Atletico MG	CDM,CM,RB,RM,CB,RWB	Ecuador	brasileirao	Serie A
1112511	Alejandro Francés	Girona	CB,RB	Spain	la_liga	LaLiga
1817271	Antoni Franke	Cagliari	Defender	Poland	serie_a	Serie A
402419	Przemyslaw Frankowski	Rennes	RM,RB,RWB	Poland	ligue_1	Ligue 1
750049	Lucas França	Nacional	GK	Brazil	liga_portugal	Liga Portugal
1316124	Matheus França	Vasco da Gama	CAM	Brazil	brasileirao	Serie A
1292835	Nathan Fraser	Wolverhampton Wanderers	ST	England	premier_league	Premier League
815431	Davide Frattesi	Inter	CM,CAM	Italy	serie_a	Serie A
1743199	Fred	Bahia	RB	Brazil	brasileirao	Serie A
322049	Fred	Fenerbahçe	CDM,CM,CAM	Brazil	super_lig	Super Lig
1403351	Tyler Fredricson	Manchester United	CB	England	premier_league	Premier League
1338696	Alex Freeman	Villarreal	RB,RM	USA	la_liga	LaLiga
1695875	Kelven Frees	Hoffenheim	CB	Germany	bundesliga	Bundesliga
1487560	Freitas	Remo	Midfielder	Brazil	brasileirao	Serie A
1224887	Lucas Freitas	Vasco da Gama	CB	Brazil	brasileirao	Serie A
634868	Marlon Freitas	Palmeiras	CDM,CM	Brazil	brasileirao	Serie A
921543	Morten Frendrup	Genoa	CM,CDM	Denmark	serie_a	Serie A
824623	Martin Frese	Hellas Verona	LM,CB	Denmark	serie_a	Serie A
1325998	Iván Fresneda	Sporting CP	RB,LB	Spain	liga_portugal	Liga Portugal
